id,title,ingredients,directions,link,source,NER,site,cuisine_id
1794,Fettuccine Alfredo,"[""1 lb. fresh fettucine"", ""boiling salted water"", ""1 c. butter, softened"", ""1/3 to 1/2 c. freshly grated Parmesan"", ""freshly cracked pepper"", ""additional grated Parmesan cheese""]","[""Drop fettuccine in the boiling water and cook until fettuccine comes to the surface, about 2 minutes."", ""Drain at once and quickly place in warm bowl in which half the softened butter has been placed."", ""Top with lumps of remaining butter and the cheese."", ""Toss lightly, using fork and spoon, for about 2 minutes, until fettuccine is well coated and creamy sauce has formed."", ""Serve sprinkled with freshly cracked pepper and additional grated cheese. Makes 4 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=1794,Gathered,"[""freshly grated parmesan"", ""parmesan cheese"", ""fresh fettucine"", ""boiling salted water"", ""butter"", ""freshly cracked pepper""]",www.cookbooks.com,3
3845,Hot Artichoke Dip With Crab(Makes 50 Servings),"[""2 cans artichoke hearts, drained and chopped"", ""2 c. mayonnaise"", ""1 c. Parmesan cheese, grated"", ""2 cans lump crabmeat, drained"", ""1 Tbsp. pimientos, drained and diced"", ""1 Tbsp. Dijon mustard"", ""1 1/2 tsp. garlic salt""]","[""Preheat oven to 350\u00b0 for at least 20 minutes. Center 1 Reynolds Pot Lux Cookware (2-quart) pan on a cookie sheet so pan does not hang over sides. Combine artichoke hearts, mayonnaise, cheese, crabmeat, pimientos, mustard and garlic salt in a bowl until well blended. Spoon mixture into pan. Bake on cookie sheet placed in middle oven rack in center of oven 25 to 30 minutes or until hot. Use cookie sheet to remove pan from oven. Let stand at least 2 minutes before lifting pan by handles. Serve hot with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=3845,Gathered,"[""garlic salt"", ""parmesan cheese"", ""hearts"", ""pimientos"", ""mayonnaise"", ""lump crabmeat"", ""mustard""]",www.cookbooks.com,3
4713,Black Bean Soup,"[""1 medium onion, chopped (about 2/3 c.)"", ""4 cloves garlic, minced"", ""1 Tbsp. ground cumin"", ""1/2 to 1 tsp. crushed red pepper flakes"", ""2 Tbsp. vegetable oil"", ""3 (16 oz.) cans black beans (undrained)"", ""1 1/2 c. chicken broth"", ""3 c. thick and chunky salsa"", ""2 Tbsp. lime juice"", ""1/2 c. nonfat plain yogurt"", ""50 crackers (any variety)""]","[""In 4-quart saucepot over medium heat, cook onion, garlic, cumin and pepper flakes in oil until onion is tender (about 3 minutes). Remove from heat.""]",www.cookbooks.com/Recipe-Details.aspx?id=4713,Gathered,"[""black beans"", ""ground cumin"", ""crackers"", ""nonfat plain yogurt"", ""red pepper"", ""onion"", ""chicken broth"", ""lime juice"", ""garlic"", ""vegetable oil"", ""chunky salsa""]",www.cookbooks.com,1
5409,Pasta Salad,"[""1 lb. (16 oz.) rotelle"", ""1/2 lb. Provolone cheese, cubed"", ""1/2 lb. hard salami, cubed"", ""1/2 lb. pepperoni, cubed"", ""1 large green pepper, diced"", ""1 or 2 stocks celery, diced"", ""1 red onion, chopped"", ""2 tomatoes, diced"", ""1 (16 oz.) bottle Kraft Zesty salad dressing""]","[""Mix all ingredients together and chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=5409,Gathered,"[""rotelle"", ""hard salami"", ""stocks celery"", ""tomatoes"", ""provolone cheese"", ""salad dressing"", ""red onion"", ""green pepper"", ""pepperoni""]",www.cookbooks.com,3
5907,Oriental Tossed Salad,"[""3/4 c. sugar"", ""1/2 c. red wine vinegar"", ""1 c. oil"", ""3 Tbsp. soy sauce"", ""2 pkg. Ramen noodles, crushed"", ""1 c. chopped walnuts"", ""1 bunch chopped green onion"", ""1 bunch broccoli florets"", ""2 pkg. romaine lettuce""]","[""Mix all together right before serving. Serves 12 to 15.""]",www.cookbooks.com/Recipe-Details.aspx?id=5907,Gathered,"[""oil"", ""red wine vinegar"", ""sugar"", ""ramen noodles"", ""soy sauce"", ""romaine lettuce"", ""broccoli florets"", ""green onion"", ""walnuts""]",www.cookbooks.com,2
6844,Sweet And Sour Beef,"[""1/2 to 1 lb. beef stew meat or hamburger"", ""salt and pepper to taste"", ""soy sauce"", ""1 bag frozen Chinese veggies"", ""3 to 4 heaping Tbsp. apricot jelly"", ""1 to 2 Tbsp. cornstarch (in cold water)""]","[""In 10-inch skillet, brown meat, adding salt, pepper and soy sauce to taste. Drain excess grease. Add frozen veggies and as much water as the veggie bag recommends. Simmer with lid on. When veggies are nearly done, add jelly and cornstarch mixed in cold water. Stir regularly until sauce starts to gel. Serve over noodles or rice.""]",www.cookbooks.com/Recipe-Details.aspx?id=6844,Gathered,"[""soy sauce"", ""cornstarch"", ""apricot jelly"", ""frozen chinese veggies"", ""beef stew meat"", ""salt""]",www.cookbooks.com,2
7603,Reva'S Manicotti,"[""1 large jar of Ragu sauce"", ""1 box manicotti noodles"", ""1 container ricotta cheese"", ""Parsley"", ""1/2 c. parmesan"", ""Salt and pepper"", ""2 c. mozzarella""]","[""Add 1 c. water to large jar of Ragu."", ""Place small amount in 9 x 13 pan."", ""Fill uncooked noodles and place in pan."", ""Cover with remaining sauce."", ""Cover with foil and bake at 350\u00b0 for about 1 hr. If using glass pan, cook longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=7603,Gathered,"[""mozzarella"", ""noodles"", ""sauce"", ""parmesan"", ""parsley"", ""ricotta cheese"", ""salt""]",www.cookbooks.com,3
8258,Pizza Lasagna,"[""1 (16 oz.) box lasagna noodles"", ""1 lb. ground beef"", ""1 (3 lb.) jar Prego spaghetti sauce with meat"", ""1 tsp. garlic powder"", ""1/2 tsp. oregano"", ""1 (16 oz.) container small curd cottage cheese"", ""2 (8 oz.) pkg. Mozzarella cheese"", ""Parmesan cheese"", ""pepperoni""]","[""Fry ground beef and drain. Add spaghetti sauce, oregano and garlic powder to ground beef. Simmer. Cook noodles as package directs. Stir in cottage cheese to sauce. In greased baking dish, alternate layers of noodles, sauce and cheese. Place pepperoni on top. Bake at 350\u00b0 for 45 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=8258,Gathered,"[""meat"", ""oregano"", ""lasagna noodles"", ""mozzarella cheese"", ""parmesan cheese"", ""garlic powder"", ""cottage cheese"", ""ground beef"", ""pepperoni""]",www.cookbooks.com,3
8674,Chicken Parmesan,"[""3 (2 1/2 to 3 lb.) chickens, cut up for frying or boneless chicken breasts"", ""4 1/2 c. fresh bread crumbs"", ""1 1/4 c. grated Parmesan cheese"", ""1 Tbsp. salt"", ""1/3 c. fresh parsley, chopped"", ""1 1/2 c. butter or margarine"", ""1 clove garlic, crushed"", ""1 Tbsp. Dijon mustard"", ""1 1/2 tsp. Worcestershire sauce""]","[""Preheat oven to 350\u00b0."", ""Wash chickens and pat dry.""]",www.cookbooks.com/Recipe-Details.aspx?id=8674,Gathered,"[""fresh parsley"", ""parmesan cheese"", ""clove garlic"", ""chickens"", ""butter"", ""mustard"", ""bread crumbs"", ""worcestershire sauce"", ""salt""]",www.cookbooks.com,3
9449,Cuddy Farms Marinated Turkey,"[""2 c. 7-Up or Sprite"", ""1 c. vegetable oil"", ""1 c. Kikkoman soy sauce"", ""garlic salt""]","[""Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.""]",www.cookbooks.com/Recipe-Details.aspx?id=9449,Gathered,"[""garlic"", ""vegetable oil"", ""soy sauce""]",www.cookbooks.com,2
19021,Artichoke Dip,"[""1 c. mayonnaise"", ""1 c. grated Parmesan or Romano cheese"", ""1 jar artichokes, drained and cut into small pieces""]","[""Mix all ingredients. Pour into a 9 x 13-inch pan. Bake in preheated 350\u00b0 oven, uncovered, for 30 minutes. Serve hot with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=19021,Gathered,"[""artichokes"", ""mayonnaise"", ""romano cheese""]",www.cookbooks.com,3
19042,Cranberry Meatballs,"[""2 lbs. ground beef"", ""2 Tbsp. soy sauce"", ""2 Tbsp. minced onion"", ""2 eggs"", ""1/3 c. dried parsley flakes"", ""1/2 tsp. garlic powder"", ""1 c. corn flake crumbs"", ""2 tsp. salt"", ""1/4 tsp. black pepper"", ""1 can cranberry sauce, jellied"", ""1/3 c. ketchup"", ""1 bottle (12 oz.) chili sauce"", ""2 Tbsp. brown sugar"", ""1 Tbsp. lemon juice""]","[""Combine ground beef, soy sauce, onion, eggs, garlic, parsley, cereal crumbs, salt & pepper. Mix well. Shape into balls the size of a large olive. Place meatballs on cookie sheet. Bake in 350 degree oven approximately 5 minutes. BEFORE baking meatballs, combine cranberry sauce, ketchup, chili sauce, brown sugar and lemon juice in crockpot and let mixture be heating on medium heat. AFTER baking meatballs, add to crockpot. Lower heat and cook 1 1/2-2 hours; stir occasionally. Makes 60 meatballs.""]",www.cookbooks.com/Recipe-Details.aspx?id=19042,Gathered,"[""corn flake crumbs"", ""black pepper"", ""soy sauce"", ""chili sauce"", ""lemon juice"", ""eggs"", ""brown sugar"", ""onion"", ""parsley flakes"", ""cranberry sauce"", ""garlic powder"", ""ground beef"", ""ketchup"", ""salt""]",www.cookbooks.com,2
22445,Tacocitos,"[""2 lb. ground beef"", ""1/2 onion, chopped"", ""1 ppkg. Old El Paso taco seasoning"", ""1/4 c. margarine"", ""1 can enchilada sauce"", ""1/4 c. flour"", ""2 c. milk"", ""1/8 tsp. paprika"", ""1 3/4 c. shredded cheese"", ""flour tortillas""]","[""Mix maseca flour with milk to make a nice dough."", ""Add salt. Form balls."", ""Flatten with tortilla press."", ""Drop spoonful of mashed beans, seasoned to your taste."", ""(Can add any meat you have on hand, chopped.)"", ""Fold tortilla over and close all around."", ""Fry in lard. Eat with hot sauce."", ""(You'll need to make a big batch - they're good.)"", ""You can substitute cottage cheese, seasoned, and mixed with an egg, instead of beans and meat.""]",www.cookbooks.com/Recipe-Details.aspx?id=22445,Gathered,"[""flour tortillas"", ""taco"", ""onion"", ""shredded cheese"", ""flour"", ""margarine"", ""enchilada sauce"", ""milk"", ""paprika"", ""ground beef""]",www.cookbooks.com,1
26201,Crispy Herb Bread,"[""4 tsp. olive oil"", ""1/2 tsp. garlic powder"", ""1 loaf French bread, halved lengthwise"", ""1 tsp. dried thyme"", ""1/4 tsp. dried marjoram"", ""1/2 tsp. paprika"", ""3 Tbsp. grated Parmesan cheese""]","[""In a small bowl, combine oil and garlic powder. Brush over the bread. Mix together thyme, marjoram, paprika and grated cheese. Place bread halves on a baking sheet; sprinkle with cheese and herb mixture. Bake in 425\u00b0 oven for 7 to 9 minutes, until lightly browned. Cut each half into 5 slices.""]",www.cookbooks.com/Recipe-Details.aspx?id=26201,Gathered,"[""bread"", ""parmesan cheese"", ""thyme"", ""garlic powder"", ""marjoram"", ""paprika"", ""olive oil""]",www.cookbooks.com,3
32445,Top Secret Dressing,"[""1/2 c. evaporated milk"", ""2 Tbsp. vinegar"", ""2 Tbsp. Parmesan cheese"", ""1 tsp. Italian seasoning"", ""1/2 c. salad oil"", ""1 1/2 tsp. garlic salt""]","[""Combine all ingredients in a jar."", ""Cover."", ""Shake well."", ""Chill. Cook macaroni."", ""Drain and cool."", ""Mix with your favorite vegetables, broccoli, tomatoes, etc. and pour the dressing over and mix and chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=32445,Gathered,"[""vinegar"", ""italian seasoning"", ""salad oil"", ""garlic salt"", ""parmesan cheese"", ""milk""]",www.cookbooks.com,3
36954,Smoked Turkey Risotto,"[""3 c. chicken stock or vegetable stock"", ""1 pkg. (10 oz.) frozen artichoke hearts"", ""2 t. olive or canola oil"", ""3 green onions, including tops, sliced (1/3 c.)"", ""1 clove garlic, minced"", ""1 c. arborio, basmati, or long-grain, white rice"", ""1/2 t. dried oregano, crumbled"", ""1/2 t. salt"", ""1/4 t. black pepper"", ""4 oz. spinach, rinsed, trimmed and thinly sliced (2 c.)"", ""3 T. grated parmesan cheese""]","[""In medium-size saucepan, bring the stock to a boil over medium heat."", ""Lower the heat, add the artichoke hearts, cover and simmer for about 10 minutes or until tender."", ""With a slotted spoon, transfer the artichoke hearts to a bowl and cover to keep warm.""]",www.cookbooks.com/Recipe-Details.aspx?id=36954,Gathered,"[""olive"", ""spinach"", ""oregano"", ""black pepper"", ""green onions"", ""arborio"", ""parmesan cheese"", ""clove garlic"", ""chicken"", ""salt""]",www.cookbooks.com,3
38748,Fettuccine Alfredo,"[""1/2 cup (1 stick) butter"", ""2 cups heavy cream"", ""1/8 tsp. garlic powder"", ""1/8 tsp. ground black pepper"", ""1 (12 oz.) box fettuccine pasta"", ""1/4 cup grated parmesan cheese""]","[""Melt the butter in a medium saucepan over medium heat."", ""Add the cream, garlic powder, and pepper and simmer for 10 - 12 minutes or until thick."", ""At the same time, bring 4 - 6 quarts of water to a boil and add the pasta.""]",www.cookbooks.com/Recipe-Details.aspx?id=38748,Gathered,"[""heavy cream"", ""parmesan cheese"", ""garlic powder"", ""ground black pepper"", ""butter"", ""pasta""]",www.cookbooks.com,3
39004,Taco-Filled Green Pepper,"[""1 lb. Ground Beef"", ""1 pkg. taco seasoning"", ""1 san Kidney beans"", ""1 onion, chopped"", ""1 C salsa"", ""4 green peppers"", ""1 medium Tomato, chopped"", ""1/2 C cheddar cheese, shredded"", ""1/2 C sour cream""]","[""In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream.""]",www.cookbooks.com/Recipe-Details.aspx?id=39004,Gathered,"[""tomato"", ""sour cream"", ""green peppers"", ""cheddar cheese"", ""onion"", ""salsa"", ""taco seasoning"", ""beans"", ""ground beef""]",www.cookbooks.com,1
39599,Pepperoni Pizza Casserole,"[""2 bags rice, cooked"", ""1/4 cup parmesan cheese"", ""1 tsp. oregano"", ""1/2 tsp. garlic powder"", ""2 eggs"", ""1 jar (16 oz.) spaghetti sauce"", ""Sliced green pepper"", ""4 oz. pepperoni, sliced"", ""4 oz. mushroom, sliced"", ""8 oz. mozzarella cheese""]","[""Mix rice, parmesan cheese, oregano, garlic powder and eggs. Blend together. Put in greased 9 x 13 casserole and bake 10 minutes. Pour jar of spaghetti sauce over rice mixture. Add sliced green pepper, pepperoni, mushrooms and mozzarella cheese. Bake 15 minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=39599,Gathered,"[""oregano"", ""eggs"", ""parmesan cheese"", ""mozzarella cheese"", ""garlic powder"", ""mushroom"", ""rice"", ""spaghetti sauce"", ""green pepper"", ""pepperoni""]",www.cookbooks.com,3
50364,Oriental Chicken Salad,"[""2 Tbsp. lime juice (no sugar added)"", ""1 Tbsp. honey"", ""1 Tbsp. reduced sodium soy sauce"", ""4 C. mixed salad greens"", ""6 oz. grilled, skinless, boneless chicken breasts, sliced"", ""1 kiwi fruit, pared, halved and thinly sliced""]","[""In a small bowl or jar with tight fitting top, combine lime juice, honey, soy sauce. Mix or shake well. Refrigerate until ready to use.""]",www.cookbooks.com/Recipe-Details.aspx?id=50364,Gathered,"[""chicken breasts"", ""soy sauce"", ""mixed salad greens"", ""lime juice"", ""honey""]",www.cookbooks.com,2
51034,Easy Marinade,"[""1/2 c. soy sauce"", ""1/4 c. oil"", ""1/4 c. red wine vinegar"", ""1 tsp. oregano"", ""1 tsp. basil"", ""1 tsp. minced onion"", ""1/4 tsp. pepper""]","[""Mix all ingredients together and pour over chicken. Let set as little as 1 hour or overnight for really juicy chicken.""]",www.cookbooks.com/Recipe-Details.aspx?id=51034,Gathered,"[""oil"", ""red wine vinegar"", ""oregano"", ""pepper"", ""soy sauce"", ""onion"", ""basil""]",www.cookbooks.com,2
52488,Chicken And Penne Pasta With Kalamata Olives,"[""about 5 Tbsp. extra virgin olive oil"", ""red pepper flakes"", ""4 to 6 garlic cloves, chopped or sliced"", ""3 or 4 boneless chicken breasts"", ""freshly ground black pepper to taste"", ""grated Romano cheese (optional)"", ""basil leaves""]","[""Cut white meat chicken up into 1-inch pieces."", ""Pit the kalamata olives and cut each olive into 3 or 4 pieces."", ""Chop or slice garlic."", ""Cut the basil leaves into strips."", ""Begin heating a large pot of salted water to boiling."", ""When water begins to boil, add pasta."", ""Don't overcook!"", ""When done, drain pasta and put in a large pasta bowl."", ""Drizzle liberally with olive oil, then salt and pepper to taste (I like plenty of pepper here) and stir.""]",www.cookbooks.com/Recipe-Details.aspx?id=52488,Gathered,"[""chicken breasts"", ""romano cheese"", ""extra virgin olive oil"", ""red pepper"", ""freshly ground black pepper"", ""basil"", ""garlic""]",www.cookbooks.com,3
55227,Cheesy Oven Fried Fish,"[""1 lb. fresh white fish fillets (cod, whiting, sole)"", ""1 egg"", ""2 Tbsp. olive oil or salad oil"", ""5 Tbsp. grated parmesan cheese"", ""6 Tbsp. Italian seasoned bread crumbs"", ""Paprika"", ""salt and pepper""]","[""Preheat oven to 450\u00b0."", ""Cut fish in serving size pieces. Spray a nonstick cookie pan with cooking spray.""]",www.cookbooks.com/Recipe-Details.aspx?id=55227,Gathered,"[""egg"", ""parmesan cheese"", ""fresh white fish"", ""italian seasoned bread crumbs"", ""paprika"", ""olive oil"", ""salt""]",www.cookbooks.com,3
65338,Taco Dip,"[""1 small can refried beans"", ""1 small carton guacamole dip"", ""1 c. sour cream"", ""3 Tbsp. mayonnaise"", ""1 pkg. taco seasoning"", ""1 c. Mozzarella cheese"", ""1 c. cheddar cheese"", ""Chopped green onions, tomato and black olives (optional)""]","[""Layer the above ingredients in a 9 x 13 inch dish."", ""Press down with spatula."", ""Serve with Doritos.""]",www.cookbooks.com/Recipe-Details.aspx?id=65338,Gathered,"[""sour cream"", ""green onions"", ""mozzarella cheese"", ""cheddar cheese"", ""guacamole dip"", ""taco seasoning"", ""mayonnaise"", ""beans""]",www.cookbooks.com,1
65834,Seafood Stew,"[""8 oz. of cod or haddock fillet"", ""1/4 c. water"", ""1 Tbsp. finely chopped ginger root, or ginger powder"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""1 clove chopped garlic"", ""1 Tbsp. olive oil"", ""8 oz. uncooked large shrimp (shelled and deveined)"", ""2 c. water"", ""1 Tbsp. soy sauce"", ""8 oz. carrots"", ""8 oz. broccoli"", ""4 tsp. cornstarch"", ""2 Tbsp. water""]","[""Cut fish into 1 inch cubes."", ""In a large bowl, mix 1/4 cup of water, ginger root, salt, pepper, and garlic."", ""Add fish and shrimp; toss to coat."", ""Let stand for 20 minutes."", ""Drain and reserve the marinade."", ""In a large pot over medium-high heat, heat oil."", ""Add fish and shrimp; stir fry for 3 minutes."", ""Remove from heat, add reserved marinade, soy sauce and 2 cups of water, mixing well."", ""Add vegetables and bring to a boil."", ""Reduce heat, cover and simmer for 7 minutes."", ""In a small bowl, combine cornstarch and water."", ""Stir into the stew."", ""Cook until it thickens, about 1 minute.""]",www.cookbooks.com/Recipe-Details.aspx?id=65834,Gathered,"[""haddock fillet"", ""pepper"", ""soy sauce"", ""water"", ""cornstarch"", ""ginger root"", ""carrots"", ""broccoli"", ""shrimp"", ""garlic"", ""olive oil"", ""salt""]",www.cookbooks.com,2
66406,Vinaigrette Dressing,"[""4 oz vinegar"", ""2 oz water"", ""1 oz soy sauce"", ""garlic powder"", ""oregano"", ""pepper"", ""bay leaf"", ""sugar or splenda""]","[""In a jar that has a lid, sprinkle in herbs to the amount you choose and then the liquids."", ""Shake well and chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=66406,Gathered,"[""vinegar"", ""oregano"", ""sugar"", ""pepper"", ""soy sauce"", ""water"", ""garlic"", ""bay leaf""]",www.cookbooks.com,2
68694,Pizza Casserole,"[""1 lb. lean ground beef"", ""1 can (14.5 oz.) diced tomatoes with basil, garlic, and oregano"", ""1 container (10 oz.) refrigerated pizza crust"", ""2 cups (8 oz.) shredded mozzarella cheese, divided"", ""1/4 c. grated Parmesan cheese""]","[""Preheat oven to 425\u00b0."", ""Coat a 9x13 baking dish with nonstick cooking spray."", ""In a medium skillet, brown the ground beef over medium-high heat, stirring and crumbling the beef until no pink remains; drain."", ""Add the tomatoes to the beef; cook until heated through."", ""Meanwhile, unroll the pizza crust; press over the bottom and halfway up the side of the baking dish."", ""Sprinkle 1 cup mozzarella cheese over the crust then top with the meat mixture. Bake uncovered for 12 minutes."", ""Top with the remaining 1 cup mozzarella cheese and sprinkle with the Parmesan cheese."", ""Bake for 5 minutes, or until the crust is golden and the cheese is melted. Cut into squares and serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=68694,Gathered,"[""tomatoes"", ""mozzarella cheese"", ""parmesan cheese"", ""crust"", ""lean ground beef""]",www.cookbooks.com,3
68986,Italian Style Duck,"[""1 small onion, chopped"", ""1 c. sliced fresh mushrooms"", ""6 Tbsp. butter or margarine, divided"", ""1 can (29 oz.) tomato sauce"", ""1/2 c. grated Parmesan cheese"", ""1/2 c. minced fresh parsley, divided"", ""1 envelope spaghetti sauce mix"", ""1/2 c. all-purpose flour"", ""1-1/2 tsp. onion salt"", ""1-1/2 tsp. garlic salt"", ""8 boneless skinless duck breast halves"", ""1/2 c. shredded mozzarella cheese"", ""1/2 c. shredded cheddar cheese"", ""Hot cooked pasta""]","[""In a saucepan, saute onion and mushrooms in 2 Tbsp. butter until tender. Stir in the tomato sauce, Parmesan cheese, 1/4 c. parsley and spaghetti sauce mix. Bring to a boil. Reduce heat; cover and simmer for 15 minutes, stirring occasionally.""]",www.cookbooks.com/Recipe-Details.aspx?id=68986,Gathered,"[""fresh parsley"", ""garlic salt"", ""mozzarella cheese"", ""parmesan cheese"", ""cheddar cheese"", ""onion"", ""mushrooms"", ""spaghetti sauce mix"", ""all-purpose"", ""onion salt"", ""butter"", ""pasta"", ""tomato sauce""]",www.cookbooks.com,3
69754,Easy Chicken Cacciatore,"[""1 lb. boneless, skinless chicken breasts"", ""2 (14.5 oz.) cans diced tomatoes"", ""2 (2.25 oz.) cans sliced olives, drained"", ""2 (4 oz.) cans mushrooms, drained"", ""garlic powder to taste"", ""onion powder to taste"", ""Italian seasoning to taste"", ""2 Tbsp. olive oil"", ""2 Tbsp. butter"", ""1 pkg. pasta of your choice"", ""Parmesan cheese""]","[""Cube chicken into bite-sized pieces."", ""Put olive oil, 1 Tbsp. butter and the chicken into a saute pan on medium heat."", ""While sauteing chicken, add a dash of garlic powder, a dash of onion powder and Italian seasoning to taste."", ""Once the chicken is cooked through, add in the tomatoes, olives and mushrooms."", ""Check flavor and add additional seasoning as needed."", ""Let simmer about 10 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=69754,Gathered,"[""pasta of your choice"", ""chicken breasts"", ""tomatoes"", ""italian seasoning"", ""parmesan cheese"", ""mushrooms"", ""onion"", ""olives"", ""garlic"", ""butter"", ""olive oil""]",www.cookbooks.com,3
71310,Broccoli Casserole,"[""1 can cream of broccoli"", ""1/2 cup milk"", ""1 tsp. soy sauce"", ""dash of pepper"", ""1 pkg. chopped broccoli (cooked and drained)"", ""1 can (8 oz.) french fried onions"", ""shredded cheese""]","[""In 1 1/2 quart dish combine soup, milk, soy sauce and pepper. Stir in broccoli and 1/2 can of onions."", ""Stir."", ""Cover with wax paper."", ""Microwave on high for 8 minutes."", ""Rotate dish and stir halfway through and stir."", ""Top with remaining onions and cheese. Microwave uncovered 1 minute.""]",www.cookbooks.com/Recipe-Details.aspx?id=71310,Gathered,"[""french fried onions"", ""pepper"", ""soy sauce"", ""cheese"", ""broccoli"", ""milk"", ""cream of broccoli""]",www.cookbooks.com,2
78917,Layered Taco Dip,"[""1 can bean dip"", ""1 carton guacamole dip"", ""1 carton sour cream, mixed with 1/2 pkg. taco seasoning"", ""1 small can diced black olives"", ""1 small bunch green onions, chopped"", ""3 tomatoes, chopped"", ""lettuce, shredded"", ""shredded Cheddar and Monterey Jack cheese"", ""large sack favorite tortilla chips""]","[""Layer in 9 x 13 x 2 pan or dish in order listed. Serve with chips.""]",www.cookbooks.com/Recipe-Details.aspx?id=78917,Gathered,"[""bean dip"", ""sour cream"", ""sack favorite tortilla"", ""tomatoes"", ""green onions"", ""guacamole dip"", ""black olives"", ""cheese""]",www.cookbooks.com,1
79937,Low-Fat Mexican Dip,"[""2 c. Dannon plain yogurt"", ""2 Tbsp. chopped fresh cilantro"", ""1 (16 oz.) can refried beans"", ""1 c. chunky salsa (mild or spicy)"", ""1 c. sliced black olives"", ""1 c. low fat grated cheese"", ""1 c. jalapeno peppers (optional)""]","[""Combine Dannon plain yogurt and cilantro; mix well. Set aside. In a separate bowl combine refried beans with 1/3 c. salsa. Spread half of this mixture into a flat 2 quart serving bowl. Spread half the yogurt mixture over the beans followed by half the black olives, half the remaining salsa, half cheese and half peppers, if desired. Repeat the layering again. Cover and chill completely. Serve with your favorite chips, or crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=79937,Gathered,"[""jalapeno peppers"", ""plain yogurt"", ""black olives"", ""beans"", ""grated cheese"", ""fresh cilantro"", ""chunky salsa""]",www.cookbooks.com,1
